District,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105,2741239
Agra,Uttar Pradesh,4041,4418797
Ahmadabad,Gujarat,8107,7214225
Ahmadnagar,Maharashtra,17048,4543159
Aizawl,Mizoram,3576,400309
Ajmer,Rajasthan,8481,2583052
Akola,Maharashtra,5676,1813906
Alappuzha,Kerala,1415,2127789
Aligarh,Uttar Pradesh,3650,3673889
Alirajpur,Madhya Pradesh,3182,728999
Allahabad,Uttar Pradesh,5482,5954391
Almora,Uttarakhand,3144,622506
Alwar,Rajasthan,8380,3674179
Ambala,Haryana,1574,1128350
Ambedkar Nagar,Uttar Pradesh,2350,2397888
Amravati,Maharashtra,12210,2888445
Azamgarh,Uttar Pradesh,4054,4613913
Badgam,Jammu and Kashmir,1361,753745
Bagalkot,Karnataka,6552,1889752
Bageshwar,Uttarakhand,2241,259898
Baghpat,Uttar Pradesh,1321,1303048
Bahraich,Uttar Pradesh,5237,3487731
